name,code,country,lat,lon,elev,style,rwdir,rwlen,freq,desc
"LKCM",LKCM,CZ,4914.217N,01633.300E,282.0m,2,15,920.0m,"123,6","BRNOMEDLANKY"
"LKCO",LKCO,CZ,4958.633N,01611.117E,264.0m,2,15,620.0m,"125,825","CHOCEN"
"LKCR",LKCR,CZ,4956.183N,01546.833E,298.0m,2,6,980.0m,"122,6","CHRUDIM"
"LKCT",LKCT,CZ,4941.150N,01540.567E,593.0m,2,17,1010.0m,"122,2","CHOTEBOR"
"LKDK",LKDK,CZ,5024.850N,01550.217E,282.0m,2,10,860.0m,"119,65","DVURKRALOVE"
"LKER",LKER,CZ,4948.167N,01302.283E,478.0m,2,11,860.0m,"123,5","ERPUZICE"
"LKFR",LKFR,CZ,4935.367N,01822.750E,439.0m,2,8,800.0m,"123,5","FRYDLANTNO"
"LKHB",LKHB,CZ,4935.833N,01532.950E,463.0m,2,11,1000.0m,"122,6","HAVLICKUVBROD"
"LKHC",LKHC,CZ,5021.433N,01534.600E,280.0m,2,13,750.0m,"123,5","HORICE"
"LKHD",LKHD,CZ,5039.433N,01504.667E,451.0m,2,1,1000.0m,"123,5","HODKOVICE"
"LKHK",LKHK,CZ,5015.200N,01550.717E,241.0m,5,16,2400.0m,"122,30","HRADEC KRALOVE"
"LKHN",LKHN,CZ,4932.767N,01742.267E,243.0m,2,5,735.0m,"123,5","HRANICE"
"LKHO",LKHO,CZ,4918.867N,01734.133E,231.0m,2,11,1800.0m,"122,5","HOLESOV"
"LKHS",LKHS,CZ,4902.400N,01429.700E,494.0m,5,6,1000.0m,"130,2","HOSIN"
"LKHV",LKHV,CZ,4950.683N,01353.150E,370.0m,5,7,1170.0m,"122,6","HOROVICE"
"LKCH",LKCH,CZ,5028.133N,01328.083E,345.0m,2,4,1200.0m,"123,6","CHOMUTOV"
"LKCHEB",LKCHEB,CZ,5004.767N,01224.350E,469.0m,2,90,0.0m,,"LETISTE"
"LKJA",LKJA,CZ,5019.883N,01557.233E,271.0m,2,14,940.0m,"122,6","JAROMER"
